id,name,birth
457,"John Hurt",1940
458,"William Hurt",1950
459,"Timothy Hutton",1960
460,"Jeremy Irons",1948
461,"Michael Ironside",1950
462,"Kate Jackson",1948
463,"Famke Janssen",1964
464,"Jim Jarmusch",1953
465,"Ron Jeremy",1953
466,"Jean-Pierre Jeunet",1953
467,"Don Johnson",1949
468,"Lynn-Holly Johnson",1958
469,"James Earl Jones",1931
470,"Jeffrey Jones",1946
471,"Raul Julia",1940
472,"Boris Karloff",1887
473,"Diane Keaton",1946
474,"Michael Keaton",1951
475,"Patsy Kensit",1968
476,"Sally Kirkland",1941
477,"Mia Kirshner",1975
478,"Tawny Kitaen",1961
479,"Walter Koenig",1936
480,"Elias Koteas",1961
481,"Alice Krige",1954
482,"Sylvia Kristel",1952
483,"Christopher Lambert",1957
484,"John Landis",1950
485,"Fritz Lang",1890
486,"Heather Langenkamp",1964
487,"Ang Lee",1954
488,"Brandon Lee",1965
489,"Christopher Lee",1922
490,"Spike Lee",1957
491,"John Leguizamo",1964
492,"Jennifer Jason Leigh",1962
493,"Jack Lemmon",1925
494,"Robert Sean Leonard",1969
495,"Téa Leoni",1966
496,"Juliette Lewis",1973
497,"Jennifer Lien",1974
498,"Matthew Lillard",1970
499,"Bai Ling",1966
500,"Richard Linklater",1960
501,"Ray Liotta",1954
502,"Christopher Lloyd",1938
503,"Emily Lloyd",1970
504,"Amy Locane",1971
505,"Nia Long",1970
506,"Julia Louis-Dreyfus",1961
507,"Rob Lowe",1964
508,"Carey Lowell",1961
509,"Bela Lugosi",1882
510,"Andie MacDowell",1958
511,"Shirley MacLaine",1934
512,"Elle Macpherson",1964
513,"William H. Macy",1950
514,"Michael Madsen",1957
515,"Virginia Madsen",1961
516,"Lee Majors",1939
517,"Terrence Malick",1943
518,"John Malkovich",1953
519,"David Mamet",1947
520,"Michael Mann",1943
521,"Sophie Marceau",1966
522,"Vanessa Marcil",1968
523,"Julianna Margulies",1966
524,"Mary Stuart Masterson",1966
525,"Heather Matarazzo",1982
526,"Samantha Mathis",1970
527,"Walter Matthau",1920
528,"Mathilda May",1965
529,"Debi Mazar",1964
530,"Andrew McCarthy",1962
531,"Frances McDormand",1957
532,"Malcolm McDowell",1943
533,"Gates McFadden",1949
534,"Kelly McGillis",1957
535,"Rose McGowan",1973
537,"Steve McQueen",1930
538,"Colm Meaney",1953
539,"Dina Meyer",1968
540,"Russ Meyer",1922
541,"Bette Midler",1945
542,"Penelope Ann Miller",1964
545,"Helen Mirren",1945
546,"Matthew Modine",1959
547,"Alfred Molina",1953
548,"Elizabeth Montgomery",1933
549,"Roger Moore",1927
550,"Kate Mulgrew",1955
551,"Dermot Mulroney",1963
552,"Eddie Murphy",1961
553,"Liam Neeson",1952
554,"Sam Neill",1947
555,"Judd Nelson",1959
556,"Olivia Newton-John",1948
557,"Brigitte Nielsen",1963
558,"Leslie Nielsen",1926
559,"Leonard Nimoy",1931
560,"Nick Nolte",1941
562,"Jeremy Northam",1961
563,"Chris O'Donnell",1970
564,"Peter O'Toole",1932
565,"Lena Olin",1955
566,"Julia Ormond",1965
567,"George Orwell",1903
568,"Frank Oz",1944
569,"Gwyneth Paltrow",1972
570,"Alan Parker",1944
571,"Mary-Louise Parker",1964
572,"Sarah Jessica Parker",1965
573,"Dolly Parton",1946
574,"Jason Patric",1966
575,"Alexandra Paul",1963
576,"Sean Penn",1960
577,"George Peppard",1928
578,"Anthony Perkins",1932
579,"Ron Perlman",1950
580,"Luke Perry",1966
581,"Joseph L. Mankiewicz",1909
582,"Joe Pesci",1943
583,"Wolfgang Petersen",1941
584,"Amanda Peterson",1971
585,"Robert Picardo",1953
586,"Jada Pinkett Smith",1971
587,"Donald Pleasence",1919
588,"Martha Plimpton",1970
589,"Eve Plumb",1958
590,"Edgar Allan Poe",1809
591,"Roman Polanski",1933
592,"Pete Postlethwaite",1946
593,"Kelly Preston",1962
594,"Jason Priestley",1969
595,"Victoria Principal",1950
596,"Jonathan Pryce",1947
597,"Bill Pullman",1953
598,"Dennis Quaid",1954
599,"Kathleen Quinlan",1954
600,"Sam Raimi",1959
601,"Harold Ramis",1944
602,"Robert Redford",1936
603,"Vanessa Redgrave",1937
604,"John C. Reilly",1965
605,"Brad Renfro",1982
606,"Jean Reno",1948
607,"Paul Reubens",1952
608,"Burt Reynolds",1936
609,"Ving Rhames",1959
610,"Giovanni Ribisi",1974
611,"Ariana Richards",1979
612,"Denise Richards",1971
613,"Joely Richardson",1965
614,"Alan Rickman",1946
615,"John Ritter",1948
616,"Eric Roberts",1956
617,"Tanya Roberts",1955
618,"Isabella Rossellini",1952
619,"Tim Roth",1961
620,"Mickey Rourke",1952
621,"Kurt Russell",1951
622,"Theresa Russell",1957
623,"Rene Russo",1954
624,"Laura San Giacomo",1962
625,"Fred Savage",1976
626,"John Sayles",1950
627,"Greta Scacchi",1960
628,"Johnathon Schaech",1969
629,"Claudia Schiffer",1970
630,"Liev Schreiber",1967
631,"Ridley Scott",1937
632,"Jerry Seinfeld",1954
633,"Tom Selleck",1945
634,"Peter Sellers",1925
635,"Yahoo Serious",1953
636,"William Shakespeare",1564
637,"Tupac Shakur",1971
638,"William Shatner",1931
639,"Ally Sheedy",1962
640,"Martin Sheen",1940
641,"Gary Sinise",1955
642,"Marina Sirtis",1955
643,"Tom Skerritt",1933
644,"Helen Slater",1963
645,"Anna Nicole Smith",1967
646,"Jaclyn Smith",1945
647,"Alan Smithee",
648,"Wesley Snipes",1962
649,"Paul Sorvino",1939
650,"Talisa Soto",1967
651,"Sissy Spacek",1949
652,"James Spader",1960
653,"Brent Spiner",1949
654,"Terence Stamp",1938
655,"Eric Stoltz",1961
656,"Madeleine Stowe",1958
657,"David Strathairn",1949
658,"Meryl Streep",1949
659,"Barbra Streisand",1942
660,"Tami Stronach",1972
661,"Donald Sutherland",1935
662,"Kiefer Sutherland",1966
663,"Dominique Swain",1980
664,"Patrick Swayze",1952
665,"D.B. Sweeney",1961
666,"Lili Taylor",1967
667,"David Thewlis",1963
668,"Emma Thompson",1959
669,"Fred Dalton Thompson",1942
670,"Lea Thompson",1961
671,"Billy Bob Thornton",1955
672,"Meg Tilly",1960
673,"Marisa Tomei",1964
674,"Tamlyn Tomita",1966
675,"Jeanne Tripplehorn",1963
676,"Chris Tucker",1971
677,"Robin Tunney",1972
678,"Kathleen Turner",1954
679,"Deborah Kara Unger",1966
680,"Casper Van Dien",1968
681,"Vince Vaughn",1970
682,"Paul Verhoeven",1938
683,"Gore Vidal",1925
684,"Nana Visitor",1957
685,"Jon Voight",1938
686,"Christopher Walken",1943
687,"J.T. Walsh",1943
688,"Sela Ward",1956
689,"Julie Warner",1965
690,"Lesley Ann Warren",1946
691,"John Waters",1946
693,"Peter Weller",1947
694,"Wim Wenders",1945
695,"Joanne Whalley",1961
696,"Wil Wheaton",1972
697,"Billy Wilder",1906
698,"Gene Wilder",1933
699,"Michael Wincott",1958
700,"Debra Winger",1955
701,"Kate Winslet",1975
702,"Reese Witherspoon",1976
703,"BD Wong",1960
704,"Elijah Wood",1981
705,"Robin Wright",1966
706,"Michelle Yeoh",1962
707,"Sean Young",1959
708,"Billy Zane",1966
709,"Robert Zemeckis",1951
710,"David Raksin",1912
711,"Rick Baker",1950
713,"Joel Oliansky",1935
714,"Willie Aames",1960
715,"Caroline Aaron",1952
716,"Paula Abdul",1962
717,"Kareem Abdul-Jabbar",1947
718,"Ian Abercrombie",1934
719,"F. Murray Abraham",1939
720,"Jim Abrahams",1944
721,"Victoria Abril",1959
722,"Joss Ackland",1928
723,"Deborah Adair",1952
724,"Brooke Adams",1949
725,"Joey Lauren Adams",1968
726,"Maud Adams",1945
727,"Percy Adlon",1935
728,"Mario Adorf",1930
729,"Casey Affleck",1975
730,"John Agar",1921
732,"Danny Aiello",1933
733,"Anouk Aimée",1932
734,"Eddie Albert",1906
735,"Brian Aldiss",1925
736,"Robert Aldrich",1918
737,"Jane Alexander",1939
738,"Muhammad Ali",1942
739,"Debbie Allen",1950
740,"Irwin Allen",1916
741,"Tim Allen",1953
742,"June Allyson",1917
743,"Néstor Almendros",1930
744,"Maria Conchita Alonso",1957
745,"Carol Alt",1960
746,"Trini Alvarado",1967
747,"Don Ameche",1908
748,"Leon Ames",1902
749,"Mädchen Amick",1970
750,"Jon Amiel",1948
751,"Suzy Amis",1962
752,"Judith Anderson",1897
754,"Kevin Anderson",1960
755,"Lindsay Anderson",1923
756,"Loni Anderson",1945
757,"Melissa Sue Anderson",1962
758,"Melody Anderson",1955
759,"Paul Thomas Anderson",1970
760,"Richard Dean Anderson",1950
761,"Bibi Andersson",1935
762,"Anthony Andrews",1948
763,"Dana Andrews",1909
764,"André the Giant",1946
765,"Pier Angeli",1932
766,"Theodoros Angelopoulos",1935
767,"Jean-Hugues Anglade",1955
768,"Francesca Annis",1945
769,"Susan Anspach",1942
770,"David Anspaugh",1946
