id,name,birth
47490,"Shane Bailey",
47491,"Shannon Czaplinski Bailey",
47495,"Sheridan Bailey",
47504,"Steven W. Bailey",1971
47509,"Sue Bailey",
47515,"Thurl Bailey",1961
47522,"Tom Bailey",1956
47531,"Wayne Bailey",
47536,"Zuill Bailey",
47538,"Charles Bailey-Gates",
47543,"Pierette Pompom Bailhache",
47545,"Ines Baili",
47549,"David Bailie",1937
47552,"Ian Bailie",
47556,"Roisel Bailih",
47558,"Bob Bailin",
47560,"Marc L. Bailin",
47561,"Piri Bailin",
47562,"Rachel Bailit",
47564,"Isabelle Baillancourt",
47565,"Genevieve Baillard",
47568,"Tony Baillargeat",1970
47569,"Blanche Baillargeon",
47570,"Bruno Baillargeon",
47573,"Jean Baillargeon",
47574,"Paul Baillargeon",1943
47575,"Paule Baillargeon",1945
47578,"Yves Baillat",1948
47595,"Bruce Baillie",1931
47602,"Kevin Baillie",1978
47606,"Nick Baillie",
47622,"Mathieu Baillot",
47623,"Pierre Baillot",
47624,"Quentin Baillot",
47625,"Alfred Baillou",1915
47627,"Claire Bailly du Bois",
47634,"Denise Bailly",1912
47637,"Jean-Pierre Bailly",
47645,"Pascale Bailly",1959
47646,"Paul Charles Bailly",
47650,"Sylvie Bailly",
47658,"Edwin Baily",1953
47666,"Rory Baily",
47671,"Gary L. Baim",1945
47673,"Jimmy Jamz",
47681,"Allen Bain",
47685,"Barnet Bain",
47688,"Bill Bain",1929
47692,"Brian Bain",
47699,"Conrad Bain",1923
47700,"Cynthia Bain",1963
47716,"Kathy Bain",
47717,"Larry Bain",1978
47722,"Miranda Bain",
47727,"Robert Bain",1924
47728,"Robin L.P. Bain",
47733,"Sherry Bain",1948
47742,"Peter Bain-Hogg",
47744,"Bob Bainborough",
47745,"Alexander Bainbridge",
47748,"Beryl Bainbridge",1932
47751,"Dave Bainbridge",
47769,"Alain Bainée",
47771,"Andrea Baynes",1946
47772,"Bob Baines",
47778,"Chris Baines",
47779,"Christopher Baines",
47780,"Dennis Baines",
47783,"Harold Baines",
47787,"Julie Baines",1957
47789,"Michael Baines",
47795,"Sherry Baines",
47798,"Mariano Baino",1967
47804,"Harwant Bains",
47815,"Jimmy Baio",1962
47818,"Steven Baio",
47823,"Antonio Baiocco",
47828,"Eugenija Bajoryte",
47840,"Tom Bair",
47841,"Vonn Scott Bair",
47842,"Fakrul Hasan Boiragi",
47850,"Anthony Baird",1919
47858,"Baird Bryant",1927
47860,"Charles Baird",
47862,"Christopher S. Baird",
47872,"Harry Baird",1931
47881,"Jessie Baird",
47887,"Karen Baird",
47888,"Kevin Baird",
47894,"Luke Baird",1979
47896,"Maggie Baird",
47899,"Margot Baird",
47900,"Marie-Terese Baird",
47907,"Nancy Baird",
47911,"Peter Baird",1951
47913,"Phillip Baird",
47915,"Robert Baird",
47916,"Robert L. Baird",
47918,"Roxanne Baird",1964
47919,"Roy Baird",1933
47921,"Scott Baird",
47922,"Sharon Baird",1942
47927,"T.A. Baird",
47934,"Colm Bairead",
47935,"Alicia Baires",
47937,"William A. Bairn",
47941,"Gary Bairos",
47942,"Richard Bairos",
47944,"Chris Bairstow",
47946,"David Bairstow",1921
47953,"Sander Bais",
47956,"Gennadi Baisak",1944
47957,"Gregory Baisden",
47961,"Zhanat Baishanbayev",
47962,"Chieko Baishô",1941
47963,"Mitsuko Baishô",1946
47967,"Kanabek Baiseitov",
47969,"Angelo Baistrocchi",
47971,"Natuk Baytan",1925
47972,"Baitao Zuo",
47973,"Dyujshen Bajtobetov",
47976,"Jon Robin Baitz",1961
47977,"Rick Baitz",
47978,"Nico Baixas",
47981,"Frank Baiz Quevedo",
47986,"Zhan Baizhanbayev",1961
47987,"Ning Baizura",1975
47988,"Marta Baizán",1947
47990,"Francisco Baião",
47998,"Momcilo 'Bajaga' Bajagic",1960
47999,"Aseem Bajaj",1977
48000,"Jay Bajaj",
48001,"Narendra Bajaj",
48002,"Ram Gopal Bajaj",1940
48003,"Riju Bajaj",1969
48005,"Clint Bajakian",1962
48006,"Marlene Bajali",
48007,"Dragomir Bajalica",
48009,"Daniela Bajar",
48012,"Elvy Bajardo",
48018,"Predrag Bajcetic",
48020,"Mária Bajcsay",1946
48021,"Srecko Bajda",
48022,"Nugzar Bajdarashvili",
48024,"Mar Bajdzhiyev",1935
48025,"Don Bajema",
48034,"Zsófia Baji",
48037,"Darko Bajic",1955
48040,"Rados Bajic",1953
48042,"Zarko Bajic",1940
48045,"Juris Bajko",
48048,"Viktor Baykov",1922
48055,"Eduardo Bajo Ulloa",
48056,"Juanma Bajo Ulloa",1967
48058,"Bernd Bajog",
48060,"Filip Bajon",1947
48061,"Juan Bajon",1948
48062,"Kasper Bajon",1983
48066,"Imre Bajor",1957
48068,"Michal Bajor",1957
48069,"Piotr Bajor",1960
48075,"Manoj Bajpayee",1969
48076,"Arben Bajraktaraj",
48077,"Sejo Bajraktarevic",
48078,"Ismet Bajramovic",
48079,"Saban Bajramovic",1936
48080,"Lidiya Bayrashevskaya",1962
48081,"Izudin Bajrovic",1963
48083,"Anna Banshchikova",1975
48091,"József Bajusz",1925
48092,"József Bajusz",
48099,"A.G. Bak",
48101,"Frans Bak",1958
48102,"Gamma Bak",1965
48103,"Henryk Bak",1923
48112,"Süong-Bae Bak",
48121,"Miroslaw Baka",1963
48122,"Sidiki Bakaba",1949
48124,"Mahamane Bakabe",
48125,"Akhmad Bakayev",
48126,"László Bakai",1956
48127,"Helmut Bakaitis",1944
48130,"Andrew Bakalar",
48134,"Armand Bakalian",
48135,"Margaret Bakalian",
48136,"Peter Bakalian",
48137,"Kostas Bakalis",1942
48139,"Mark Bakalor",1977
48142,"Christo Bakalov",1957
48143,"Slav Bakalov",1945
48145,"Ani Bakalova",1940
48146,"Hristo Bakalski",
48147,"Richard Bakalyan",1931
48155,"Dion Abu Bakar",
48158,"Gérard Kikoïne",1946
48159,"Ariyon Bakare",1971
48160,"Harvey L. Bakari",
48164,"Bamba Bakari",
48168,"Scott Bakatman",
48169,"Nick Bakay",1959
48171,"Khasan Bakayev",
48172,"Bintou Bakayoko",
48173,"Mariam Bakayoko",
48179,"Donald Bakeer",
48182,"Dragan Bakema",1980
48192,"Edward Baker-Duly",1977
48194,"Forrest S. Baker III",
48195,"James Baker III",1930
48206,"Alan Baker",
48207,"Allan Baker",
48211,"Alexander Baker",
48215,"Allen Baker",
48218,"Ally Baker",
48219,"Alretha Thomas",
48220,"Amanda Baker",1979
48221,"Amy Baker",
48227,"Angela Baker",
48236,"Arnold C. Baker II",
48237,"Arnold Baker",1928
48239,"Arthur Baker",1955
48241,"Athenea Baker",
48244,"Barry Baker",
48245,"Bart Baker",
48248,"Bear Baker",
48250,"Becky Ann Baker",1953
48254,"Ben Baker",1966
48260,"Betsy Baker",1955
48268,"Bill Baker",
48272,"Billy Baker",
48273,"Blanche Baker",1956
48276,"Bob Baker",1939
48278,"Bob Baker",1924
48288,"Brandon Baker",1985
48290,"Brett Baker",
48294,"Brian Baker",1967
48296,"Bruce Baker",
48297,"Bryan Baker",1970
48301,"Buddy Baker",1918
48302,"Buddy Baker",1941
48304,"Byrd Baker",
48315,"Carol Baker",
48317,"Carrie Baker",
48329,"Chet Baker",1929
48336,"Christopher James Baker",
48344,"Chris Lethbridge-Baker",1927
48346,"Colin Baker",1943
48348,"Colin Baker",
48352,"Don Henderson Baker",
48354,"Damani Baker",
48364,"Danny Baker",1957
48371,"James Murdock",1931
48372,"David Baker",
48373,"David Baker",1931
48374,"David Baker",
48376,"David Baker",
48379,"David Aaron Baker",1963
48380,"David E. Baker",1967
48381,"David Lain Baker",1962
48383,"Dawn Baker",
48384,"Dean Baker",
48389,"Dee Bradley Baker",1962
48398,"Don Baker",
48399,"Don Baker",
48413,"Dusty Baker",1949
48414,"Dylan Baker",1959
48422,"Edwin Baker",
48431,"Elizabeth Baker",
48432,"Elliott Baker",1922
48433,"Elsie Baker",1883
48439,"Eve Baker",
48451,"H. Franklin Baker III",
48452,"Fred Baker",1932
48461,"Garret Baker",
48464,"Gemma Dyllen",
48468,"George Baker",1931
48482,"Geri E. Baker",
48486,"Ginger Baker",1939
48491,"Graham Baker",1938
48497,"Greg Baker",1968
48500,"Gretchen Baker",
48505,"Heather Baker",1970
48511,"Herbert Baker",1920
48518,"Howard Baker",1925
48519,"Howard E. Baker",
48523,"Hylda Baker",1905
48524,"Ian Baker",1947
48536,"Jake Baker",
48548,"Jane Baker",
48554,"Jay Baker",1961
48567,"Jennifer Baker",
48572,"Jeri Baker",
48585,"Joanne Baker",
48587,"Joby Baker",1934
48588,"Jodi Baker",1967
48589,"Joe Baker",1928
48604,"Jolyon Baker",
48610,"Jordan Baker",
48616,"Kai Baker",
48617,"Kandra King",
48623,"Karen Baker Landers",
48634,"Kelley Baker",
48643,"Ken Baker",
48650,"Kenneth Baker",1921
48651,"Kenneth W. Baker",
48652,"Kenny Baker",1934
48661,"Kirsten Baker",1960
48670,"Kurt Baker",
48674,"LaFaye Baker",
48675,"Lance Baker",1960
48676,"Lance Baker",
48677,"Lane Baker",
48686,"LeeAnne Baker",1966
48687,"Leigh-Allyn Baker",1972
48689,"Lenny Baker",1945
48695,"Lesley Baker",1944
48704,"Lori Baker",
48706,"Lorie Baker",
48710,"Louise Baker",
48711,"Luc Baker",
48715,"Lynn Baker",
48716,"Lynne Baker",
48718,"Léandre-Alain Baker",
48730,"Marie Annharte Baker",
48733,"Marina Baker",1967
48735,"Mark Baker",1959
48741,"Mark H. Baker",
48744,"Martin G. Baker",
48745,"Marvin Baker",1965
48749,"Matt Baker",1977
48755,"Max Baker",
48762,"Michael Baker",
48763,"Michael Baker",
48767,"Michael Conway Baker",1937
48784,"Missy Baker",
48790,"Nancy Baker",
48801,"Nina Jo Baker",
48802,"Noel S. Baker",
48804,"Norman Baker",1928
48809,"Ox Baker",1934
48813,"Pamela Baker",
48816,"Patrick Baker",
48817,"Paul Baker",
48821,"Paul Baker",
48834,"Philippa Baker",
48840,"Rae Baker",1974
48842,"Randy Baker",
48844,"Ray Baker",1948
48855,"Rhonda Baker",
48858,"Richard Baker",
48859,"Richard Baker",
48863,"Richard Alan Baker",
48866,"Richard John Baker",1949
48871,"Robert Baker",1940
48875,"Robert S. Baker",1916
48890,"Roy Thomas Baker",
48893,"Ruby Baker",
48903,"Said Baker",
48907,"Sarah Baker",
48909,"Scott Baker",1948
48913,"Scott Thompson Baker",1960
48917,"Sean Baker",
48918,"Sean Baker",1971
48919,"Sean C. Baker",
48922,"Sharisse Baker-Bernard",
48923,"Sharlene Baker",
48925,"Sharon Baker",
48926,"Shaun Baker",
48929,"Sheree McCabe Baker",
48932,"Simon Baker",1969
48934,"Simon Baker",1986
48939,"Stanley Baker",1928
48940,"Stephanie-Marie Baker",
48944,"Steve Baker",
48945,"Steven Baker",
48950,"Susan M. Baker",
48952,"Suzanne Baker",
48956,"T.G. Baker",
48965,"Terry Baker",
48968,"Thomas Baker",
48970,"Tiffany Baker",1967
48973,"Tim Baker",
48975,"Timothy D. Baker",
48982,"Tom Baker",1934
48983,"Tom Baker",1940
48984,"Tom Baker",
48993,"Travis Baker",
48995,"Tricia Baker",
49000,"Vera Baker",
49005,"Peter Saxon",1925
49009,"Walter Baker",
49014,"Wendy Baker",
49021,"William S. Baker",1925
49026,"Zene Baker",
49029,"Ariadne Baker-Dunn",
49033,"Nick Baker-Monteys",
49047,"Milan Bakes",1963
49048,"Rossitsa Bakeva",
49049,"Gary Bakewell",
49051,"Joan Bakewell",1933
49063,"Georgi Bakhchevanov",1944
49065,"Aibarchin Bakirova",1950
49068,"Igor Bakhmetyev",1917
49069,"Vladlen Bakhnov",1924
49070,"Firuz Bakhor",
49071,"Simon Bakhouche",
49076,"Enayat Bakhshi",
49077,"Ali Bakhsi",
49079,"Dato Bakhtadze",1966
49082,"Bakhtawar Singh",
49083,"Nasser Bakhti",1960
49085,"Zeba Bakhtiar",1971
49086,"Afshin Khorshid Bakhtiari",
49087,"Hamide Bakhtiari",
49091,"Bek Bakhtybekov",
49092,"Mukhtar Bakhtygereyev",1933
49099,"Bianca Hunter",1969
49101,"Viktor Bakin",
49102,Bokir,1925
49104,"Sal Bakir",
49105,"Zoheir Bakir",
49106,"Setrak Bakirel",
49108,"Valentin Bakirov",
49112,"S. Bakiyeva",
49121,"Håvard Bakke",1974
49122,"Karl Bakke",
49124,"Quenby Bakke",
49128,"John Bakken",
49131,"Jørn Bakken",
49134,"Steve Bakken",
49135,"Tom Bakken",
49138,"Michael Bakkensen",
49146,"Femke Bakker",1972
49154,"Jim Bakker",1939
49156,"Justine Bakker",
49157,"Piet Bakker",1897
49158,"Kuno Bakker",
49160,"Marco Bakker",1941
49162,"Marijke Bakker",1932
49163,"Mark Bakker",
49167,"Remco Bakker",
49169,"Roberto Bakker",1940
49172,"Sharon Bakker",1952
49176,"Tammy Faye Bakker",1942
49180,"James Bakkom",
49181,"Nikolay Boklan",1963
49182,"Stanislav Boklan",1960
49183,"Grigory Baklanov",1923
49188,"John Vincent",
49190,"Brigitte Bako",1967
49194,"Nebojsa Bakocevic",1965
49196,"Kostas Bakodimos",
49198,"Devora Bakon",1951
49205,"Éva Bakos",
49208,"Ildikó Bakos",
49210,"John Bakos",
49212,"Zsuzsa Bakos",
49216,"Temur Bakuradze",1943
49217,"Andrea Bakovic",1962
49218,"Gregor Bakovic",1969
49220,"Amal Bakr",
49225,"Zozo Bakradze",1936
49227,"Lasha Bakradze",1965
49229,"Janus Nabil Bakrawi",1974
49233,"Adel Bakri",
49235,"Mohammad Bakri",1953
49236,"Claude Baks",1917
49244,"Anand Bakshi",1930
49245,"Arun Bakshi",
49249,"Mark Bakshi",
49250,"Shanti Prakash Bakshi",1925
49255,"Pablo Baksht",
49256,"Leonid Bakshtayev",1934
49258,"Jeffrey Edward Baksinski",
49264,"Shango Baku",
49274,"Balufu Bakupa-Kanyinda",1957
49277,"Nick Bakyta",
49278,"Maria Bakò",
49280,"Márta Bakó",1920
49281,"Frédéric Bal",
49282,"Henry Bal",1940
49289,"Pascale Bal",1971
49292,"Santiago Bal",1937
49294,"Vincent Bal",1971
49295,"Walter Bal",1939
49297,"Gopal Bala",
49302,Ranibala,
49303,"Vinod Bala",
49304,"Ymer Bala",
49305,"Aleksandar Balaban",
49309,"Howard Balaban",
49311,"Judy Balaban",1932
49313,"Liane Balaban",1980
49315,"Lirit Balaban",1971
49323,"Susie Balaban",
49325,"Aracy Balabanian",1942
49326,"Aleksey Balabanov",1959
49328,"Sergei Balabanov",1958
49329,"Viktor Balabanov",
49335,"K. Balachander",1930
49338,"Tania Balachova",1902
49339,"Bernd Balachus",
49342,"Kostas Baladimas",1909
49346,"Patrick Baladi",1971
49347,"Jorge Baladim",
49361,"Carmen Balagué",1952
49362,"Manuel Balaguer Julià",
49363,"Asunción Balaguer",1925
49366,"Javier Balaguer",
49369,"Mario Balaguer",
49371,"Jaume Balagueró",1968
49372,"Carles Balagué",1949
49378,"Hassein Balai",
49380,"Balaiah M.",
49382,"T.S. Balaiah",
49384,"Suresh Balaje",
49386,"Miroslav Balajka",1950
49391,"Oleg Balakin",1938
49392,"Ted Roter",1930
49393,"Ercüment Balakoglu",1934
49395,"Nandamuri Balakrishna",1960
49397,"P. Balakrishnan",
49398,"E.N. Balakrishnan",
49399,"K. Balakrishnan",
49400,Balakumaran,
49404,"Pablo Canche Balam",
49406,"Hakan Balamir",1945
49407,"John Balamos",1927
49413,"Nilambur Balan",
49414,"Ovidiu Balan",
49416,"S.S. Balan",1936
49421,"John Balance",1962
49422,"George Balanchine",1904
49434,"Saulius Balandis",1963
49436,"Alexander Balanescu",1954
49442,"Katiana Balanika",1949
49443,"José Bolaños",1935
49446,"Leopoldina Balanuta",1934
49449,"Yiolanta Balaoura",
49453,"Franck Balard",1958
49460,"Djordje Balasevic",1953
49464,"Georgi Balashov",
49465,"Vladimir Balashov",1920
49468,"Jorgos Balasis",
49470,"Belinda Balaski",1947
49472,"Gheorghe Balasoiu",1949
49473,"Joe Balass",1966
49479,Balasubramanyam,
49482,"Ben Balatbat",
49487,"Michael Balaun",
49489,"Bernard Balavoine",
49490,"Daniel Balavoine",1952
49494,"Roman Balayan",1941
49496,"Rasim Balayev",1948
49498,"Kiilei Balaz",
49506,"Olivier Balazuc",
49523,"Paola Balbi",
49526,"Kakau Balbino",
49531,"Ennio Balbo",1922
49532,"Italo Balbo",1896
49535,"Manuel Balboa",1958
49550,"Silvio F. Balbuena",1930
49553,"Rosángela Balbó",1941
49554,"François Balcaen",
49559,"Leonora Balcarce",1978
49563,"Carmen Balcells",1930
49564,"Francisco Balcells",
49569,"Rene Balcer",1954
49570,"V. Scott Balcerek",
49577,"Antony Balch",1937
49584,"Bernt Balchen",1899
49585,"Anatoli Balchev",
49587,"Nigel Balchin",1908
49588,"Boris Balchinos",
49592,"Marius Balchunas",1971
49594,"Robert Balchus",
49597,"Tamer Balci",1918
49601,"Vlado Balco",1949
49602,"Stuart Balcomb",1951
49605,"David Balcon",
49607,"Jill Balcon",1925
49608,"Michael Balcon",1896
49612,"Hugo Balcone",
49617,"Alfonso Balcázar",1926
49620,"Francisco Balcázar",
49621,"Jaime Jesús Balcázar",1934
49622,"Ramón Balcázar",
49623,"Dave Bald Eagle",1919
49627,"Frederick Bald",
49630,"Niels Bald",
49631,"Petra Bald",
49633,"Kyle Balda",1971
49641,"David Baldacci",1960
49648,"Giuseppe Baldacconi",
49650,"Bernard Baldan",
49653,"Gianfranco Baldanello",1928
49658,"Leonor Baldaque",
49659,"Grégoire Baldari",1947
49661,"Barry Baldaro",1932
49665,"Nick Baldasare",
49671,"Donato Baldassarra",
49673,"Raf Baldassarre",1932
49674,"Elettra Baldassarri",1963
49676,"Mario Baldassarri",
49679,"Giorgio Baldassi",
49687,"Mariama Balde",
49689,"John Baldecchi",
49691,"Hernan Baldech",
49693,"Emilio Baldelli",
49697,"Jörg-Michael Baldenius",1940
49698,"Sumintra Baldeo Singh",
49702,"Hugo Egon Balder",1950
49704,"Tine Balder",1924
49715,"Anthony F. Balderrama",
49717,"Brooke Balderson",1978
49718,"Clark Balderson",
49719,"Robert Balderson",
49720,"Willie Balderson",
49721,"John L. Balderston",1889
49724,"John Baldessari",
49728,"Ferdinando Baldi",1917
49729,"Gian Vittorio Baldi",1930
49730,"Gianguido Baldi",1966
49737,"Marcello Baldi",1923
49739,"Mimmo Baldi",
49744,"Renata Baldi",
49745,"Roberto Baldi",
49751,"Elvira Baldina",
49753,"Clare Balding",1971
49754,"Rebecca Balding",1955
49760,"Giancarlo Baldini",
49764,"Oreste Baldini",1962
49766,"Renato Baldini",1921
49767,"Rodolfo Baldini",1946
49768,"Sergio Baldini",
49770,"Tim Baldini",
49772,"Lee Baldino",
49776,"Antonio Baldissarro",
49777,"José Baldissera",
49798,"Danny Baldonado",
49801,"Antonio Baldoni",
49807,"Sam Baldoni",
49809,"Sandro Baldoni",1954
49814,"Michael Baldoz",
49819,"Lola Baldrich",1971
49821,"Bill Baldridge",
49824,"Orvel Baldridge",1955
49827,"Long John Baldry",1941
49833,"Armenia Balducci",1937
49838,"Richard Balducci",1922
49839,"Sirad Balducci",
49849,"Sveinbjörn I. Baldvinsson",1957
49853,"A. Michael Baldwin",1963
49855,"Alice Baldwin",
49878,"Craig Baldwin",1952
49884,"David Baldwin",
49888,"Declan Baldwin",1960
49894,"Donald Baldwin",
49906,"Franny Baldwin",
49920,"Howard Baldwin",
49924,"James Baldwin",1924
49928,"Janit Baldwin",1953
49929,"Jason Baldwin",1977
49943,"Judith Baldwin",1946
49944,"Justin Baldwin",
49945,"Karen Elise Baldwin",1964
49949,"Ken Baldwin",
49955,"Lew Baldwin",
49962,"Mark C. Baldwin",
49963,"Mary Baldwin",
49965,"Michael Baldwin",
49966,"Michael Baldwin",
49967,"Michael Johnston",
49975,"Peter Baldwin",1931
49983,"Rick Baldwin",
49987,"Robert M. Baldwin",1933
49989,"Roger Baldwin",1884
49992,"Ron Baldwin",
50005,"Stanley Baldwin",1867
50012,"Ted Baldwin",
50014,"Thomas Baldwin",
50015,"Tim Baldwin",
50031,"Scott Baldyga",
50033,"Blanca Baldó",
50045,"Andrei Catalin Baleanu",
50048,"Rafael Baledón",1919
50051,"Rafael Baledón",
50063,"Andrea Balen",
50064,"Frank van Balen",
50067,"Noëlle Balenci",
50069,"Cristóbal Balenciaga",1895
50080,"Vito G. Balenzano",
50083,"Lissa Balera",
50085,"Emili Baleriola",
50094,"Laura Bales",
50097,"Paul Bales",
50106,"Annie Balestra",
50107,"César Balestra",
50108,"Sabrina Balestra",
50112,"Andrea Balestri",1963
50115,"Vincent Balestri",
50117,"Carlo Balestrieri",
50118,"Enzo Balestrieri",
50124,"Glada Balestrini",
50125,"Nanni Balestrini",1935
50126,"Branko Baletic",1946
50127,"Gojko Baletic",1956
50129,"Ed Balevicius",
50139,"Carola Baleztena",1980
50141,"Dewey Balfa",1927
50146,"Marc Balfour",
50149,"Piet Balfoort",1933
50156,"Eric Balfour",1977
50163,"Michael Balfour",1918
50164,"Noëlle Balfour",
50165,"Penny Balfour",
50173,"Zara Balfour",
50175,"Michael Balfry",
50177,"Jennifer Balgobin",
50183,"Sophie Balhetchet",
50187,"Arun Bali",1942
50192,"Monica Vali",
50197,"Yogeeta Bali",1952
50198,"Alison Balian",
50199,"Armen Balian",
50202,"Haig Balian",
50203,"James Balian",
50207,"Marco Baliani",1950
50210,"Jeanne Balibar",1968
50226,"Ron Balicki",1963
50235,"Asen Balikci",
50239,"Armand Balima",
50243,"D. Balin",
50245,"Joey Balin",
50246,"Marty Balin",1942
50247,"Melissa Balin",1975
50248,"Michael Balin",
50249,"Mireille Balin",1909
50250,"Richard Balin",1940
50264,"Eszter Balint",1966
50265,"Ina Balint",1982
50268,"István Bálint",1943
50273,"Andrew Balis",
50276,"Jeff Balis",1975
50284,"Gene Balitski",
50287,"Janko Baljak",1965
50296,"Azra Balkan",
50297,"David H. Balkan",
50300,"Georgi Balkanski",1950
50302,"Vladimir Balkashinov",1961
50303,"Géza Balkay",1952
50305,"Cliff Ralke",1939
50308,"Turid Balke",1921
50310,"Thomas Balkenhol",
50315,"Dawn Balkin",
50316,"Denis Balkin",1931
50320,"Sidney D. Balkin",
50321,"Arlette Balkis",1910
50322,"Mehmet Balkiz",
50324,"Claudia Balko",1962
50325,"Dave Balko",
50328,"Robin Balkwill",
50329,"Robert E. Ball Jr.",
50330,"Abby Ball",
50332,"Alan Ball",1957
50335,"Albert Ball",1896
50337,"Angeline Ball",1969
50347,"Bobby Ball",1944
50350,"Camilla Ball",
50359,"David Ball",
50360,"Dean Ball",
50377,"George W. Ball",
50378,"Graeme Ball",
50384,"Ian Ball",
50386,"James Ball",
50393,"James Ball",
50395,"Jim L. Ball",
50398,"John Ball",1911
50399,"John 'Doc' Ball",1907
50401,"Jonathan Ball",1946
50402,"Karen Ball",
50416,"Leslie Ball",1955
50421,"Lori Ball",
50430,"Meaghan Ball",
50431,"Michael Ball",1962
50436,"Murray Ball",1939
50437,"Nicholas Ball",1946
50440,"Nova Ball",1958
50449,"Ray Ball",
50453,"Robert Ball",
50454,"Rod Ball",1955
50457,"Sam Ball",
50458,"Sam Ball",1973
50461,"Seamus Ball",
50462,"Sheila Ball",
50466,"Sherwood Ball",
50467,"Sonia Ball",
50468,"Sonja Ball",1956
50471,"Steve Ball",
50474,"Sue Ball",1967
50480,"Tom Ball",
50481,"Tulsy Ball",
50482,"Vincent Ball",1923
50487,"William Ball",1931
50492,"Zachary Ball",1897
50493,"Zoë Ball",1970
50494,"Amita Balla",1976
50501,"Philip Balla",
50511,"Michael Ballam",
50515,"Ruth Ballan",
50518,"Jack Ballance",
50520,"Peter Ballance",
50524,"Philippe Balland",
50526,"Olivier Ballande",
50532,"Antonia Ballantine",
50535,"Carl Ballantine",1917
50541,"Jason Ballantine",1970
50547,"Sara Ballantine",1954
50550,"Dario Ballantini",1964
50551,"Giovanni Ballantini",
50555,"Elspeth Ballantyne",1939
50557,"Jane Ballantyne",
50560,"Keith Ballantyne",
50572,"Sheila Ballantyne",1936
50574,"Suzanne Ballantyne",
50575,"Tanya Tree",1944
50584,"Alimi Ballard",1977
50586,"Amy Ballard",1971
50587,"Annie Ballard",
50592,"Beverly Ballard",
50593,"Robert Ballard",1942
50597,"Carroll Ballard",1937
50602,"Courtney Ballard",
50603,"Craig Ballard",
50607,"Doug Ballard",
50608,"Elise Ballard",
50611,"Fred Ballard",
50612,"Gary Ballard",
50613,"Hank Ballard",1927
50618,"J.G. Ballard",1930
50619,"Jack Ballard",
50625,"Jane Ballard",
50629,"Jeffrey Ballard",1987
50630,"Jesse Ballard",
50631,"Jessica Ballard",
50633,"John Ballard",
50639,"Kaye Ballard",1925
50648,"Matt Ballard",
50658,"Ray Ballard",1929
50659,"Reginald Ballard",
50663,"Russ Ballard",1947
50669,"Shane Ballard",1970
50670,"Shannon Ballard",1970
50673,"Steve Ballard",
50676,"Terry Ballard",1935
50677,"Thomas E. Ballard",
50683,"Mariella Ballardini",
50684,"Romeo Ballardini",
50688,"Jorge Ballarin",1972
50689,"Marcelino Ballarin",
50695,"Alberto Ballarín",
50698,"Crist Ballas",1965
50699,"James Ballas",1915
50704,"David Ballasso",
50710,"Thomas Ballatore",1961
50720,"Ladislav Ballek",1941
50722,"Matthew Ballen",1975
50726,"Tiffany Ballenger",
50737,"Edoardo Ballerini",1970
50739,"Mattia Ballerini",
50744,"Antonio Ballerio",
50749,"Juan José Ballesta",1987
50757,"Francisco Ballester",
50768,"Rubén Ballester",
50769,"Tania Ballester",
50772,"Antonio L. Ballesteros hijo",1935
50774,"Anderson Ballesteros",1982
50777,"Armando Ballesteros",
50778,"Belén Ballesteros",
50781,"Carlos Ballesteros",1935
50787,"Elena Ballesteros",1981
50798,"Mari Paz Ballesteros",
50799,"Marita Ballesteros",
50803,"Pere Ballesteros",
50805,"Roberto Ballesteros",
50807,"Sandra Ballesteros",1961
50812,"Silvia Ballestra",
50814,"Bernard Ballet",
50815,"Marta Balletbò-Coll",1960
50821,"Denise Ballew",
50824,"Jerry Ballew",
50825,"Michael Ballew",
50832,"Florian Ballhaus",1965
50837,"Rudy Balli",1970
50853,"Erik Balling",1924
50858,"Bill S. Ballinger",1912
50863,"Chuck Ballinger",
50866,"Jakob Ballinger",
50875,"Socrates Ballis",1933
50876,"Gigi Ballista",1918
50877,"Dieter Ballmann",
50878,"Hans-Jürgen Ballmann",
50880,"Herbert Ballmann",1924
50882,"Rolf Ballmann",
50887,"Jordi Balló",
50890,"Robert Ballo",
50897,"John Ballon",
50924,"Mark Ballou",1971
50936,"Gerhard Balluch",1942
50937,"Don Balluck",1929
50942,"Dayan Ballweg",
50946,"Raymond Bally",
50948,"Sylvie Ballyot",
50952,"Gábor Balló",1943
50953,"Karyn Balm",1939
50959,"Pedro Pascal",1975
50961,"Pierre Balmain",1914
50966,"Mario Balmaseda",1941
50975,"Timothy Balme",
50976,"Véronique Balme",
50983,"Jean-François Balmer",1946
50984,"Lucy Balmer",
50985,"Randall Balmer",1954
50987,"José Balmes",1927
50988,"Thomas Balmès",
50994,"Yulyen Balmusov",
50995,"Bernard Balmuth",1918
50996,"François Balmès",
50998,"Janelle Balnicke",
51002,"Gunars Balodis",1934
51004,"Peter I. Baloff",
51006,"Gábor Balog",1944
51013,"Michael T. Balog",
51018,"Bob Balogh",1950
51023,"Emese Balogh",1939
51024,"Erika Balogh",1958
51030,"Gyöngyi Balogh",
51031,"György Balogh",
51032,"Géza Balogh",1936
51036,"Joe Balogh",
51038,"Julianna Balogh",
51040,"Kálmán Balogh",
51044,"László Balogh",
51045,"Mari Balogh",
51046,"Menyhért René Balog-Dutombé",
51047,"Mihály Balogh",
51050,"Rudolf Balogh",
